Year,January,February,March,April,May,June,July,August,September,October,November,December
1938,68.6,125.0,34.4,48.3,30.8,0,0,0,15.6,15.6,57.6,135.07
1939,103.4,43.0,92.5,3.3,25.2,37.6,0,0,37.3,3.9,43.2,245.8
1940,168.0,91.9,40.4,183.7,77.5,29.6,0,0,7.6,14.0,45.2,292.0
1941,113.7,102.3,42.4,55.3,11.9,1.0,0,0,2.7,50.9,29.5,96.1
1942,207.5,140.5,10.3,14.7,0.5,1.0,0.3,9.2,1.1,25.8,193.9,34.3
1943,182.4,18.4,30.6,76.5,71.5,5.7,0,11.5,8.2,26.0,94.1,100.3
1944,121.3,295.9,187.4,74.0,33.6,0,5.5,12.6,13.3,130.4,141.6,100.9
1945,397.1,29.8,50.0,21.4,0,0,0.3,19.8,2.5,30.4,98.6,305.5
1946,52.7,152.9,80.6,16.3,34.7,9.6,0,0,1.8,63.4,111.3,358.2
1947,135.5,90.6,36.2,0,7.2,6.2,0.4,10.4,11.3,41.2,81.1,222.0
1948,214.9,159.6,19.9,38.4,60.0,41.8,0,0,0.0,3.3,45.3,45.8
1949,114.8,43.3,152.9,27.6,22.6,3.4,8.3,0,0.7,46.0,64.2,79.7
1950,81.7,36.6,40.2,37.8,37.6,8.5,0,0,2.5,20.8,68.6,175.8
1951,222.2,117.2,144.5,29.1,61.6,0,0.2,0,9.6,46.5,114.6,89.5
1952,141.7,265.7,92.8,0.3,80.1,0.0,0.0,0,3.0,52.1,188.7,45.2
1953,224.9,76.3,39.2,11.7,55.2,37.0,0,0,9.5,42.2,51.9,108.9
1954,142.1,110.2,104.0,53.7,65.6,0.0,0,0,0.0,48.9,148.1,202.9
1955,92.4,52.7,21.0,83.4,7.2,0,0.2,0.3,2.4,55.9,201.2,80.2
1956,41.5,206.8,65.2,11.7,44.0,6.7,0,0,0.0,9.2,32.0,132.3
1957,95.2,11.7,55.5,18.7,118.3,9.5,13.0,0.0,14.9,7.6,37.3,59.5
1958,149.0,38.6,111.8,54.5,25.6,1.5,1.4,2.9,6.7,48.2,61.4,131.3
1959,205.4,3.4,47.9,11.1,29.0,5.2,3.0,0,0.9,34.7,29.6,214.2
1960,135.6,55.1,35.3,67.6,17.7,7.5,0.3,0,6.0,4.8,157.3,296.9
1961,127.2,87.6,12.2,100.5,16.8,23.4,0,8.2,3.9,30.3,59.2,109.9
1962,55.3,147.9,151.9,56.7,1.3,3.8,0,0,28.5,32.3,94.2,291.0
1963,167.5,120.8,49.7,22.8,41.7,0.6,0,0,0,83.3,36.8,46.0
1964,55.5,72.4,65.3,2.3,16.6,27.8,0,0.0,68.5,0.2,19.6,181.7
1965,73.4,220.3,73.2,142.7,86.3,0.0,0,0.0,0,9.7,87.2,202.2
1966,187.2,42.9,153.6,23.6,29.3,6.3,0,17.2,27.8,5.9,93.9,304.8
1967,142.4,19.6,17.4,39.3,9.9,2.8,0,0.0,9.2,12.4,14.9,147.1
1968,269.7,100.0,72.8,0.8,6.5,8.0,0,2.2,34.2,20.3,67.3,134.4
1969,136.3,106.3,57.3,35.3,29.8,6.4,5.9,0,0.2,0.1,5.6,380.3
1970,71.7,184.1,68.7,26.0,22.5,10.1,0,0,1.5,92.3,61.8,88.5
1971,80.0,196.0,120.7,32.3,3.9,2.9,9.4,18.1,0.4,22.9,107.1,131.7
1972,25.2,62.1,35.7,41.4,38.1,0.4, 0.1,2.6,9.2,85.6,34.0,4.9
1973,135.3,186.7,38.6,44.6,9.5,20.7,0,0.2,7.6,29.7,39.7,111.6
1974,12.7,148.4,127.3,23.1,29.1,0.5,0,1.5,11.8,59.5,118.3,167.8
1975,175.1,76.0,53.4,57.8,16.8,47.5,0,0,5.0,31.1,128.1,123.2
1976,72.2,82.7,63.8,94.1,33.9,9.5,24.0,4.8,28.2,243.9,74.8,141.8
1977,73.5,65.4,24.5,37.8,2.1,0.7,0.0,0,16.8,72.4,71.7,103.1
1978,247.7,179.2,123.6,75.0,40.7,3.5,0,0,51.5,66.1,80.2,28.0
1979,238.8,77.7,31.0,20.6,63.7,9.3,0.0,0,0,38.8,182.7,126.9
1980,206.2,41.5,77.8,51.7,33.0,13.6,0,0,0,8.7,150.4,198.0
1981,337.8,52.4,83.7,13.0,22.7,0.0,0,0,0,21.1,170.9,354.6
1982,63.7,53.4,110.1,98.4,51.8,0,0.7,0,0,77.7,76.2,129.1
1983,47.4,106.8,9.7,40.3,2.4,12.8,9.8,0.4,0,2.6,158.8,158.4
1984,242.6,99.5,104.2,71.5,0.2,0.0,16.4,1.9,0.2,0,89.8,58.8
1985,145.7,34.6,104.0,6.1,42.5,1.5,0.0,0,0,29.8,142.0,20.6
1986,282.8,151.6,31.5,44.1,7.2,21.2,0,0,0.7,22.4,22.8,122.0
1987,203.8,55.8,114.9,46.0,5.2,1.5,1.5,0.0,0,1.5,167.3,149.2
1988,55.7,103.8,164.2,22.0,8.1,0.0,0.0,0,0,5.4,118.2,150.1
1989,4.6,11.0,128.8,1.8,30.0,38.6,0,0,29.2,44.4,84.7,146.3
1990,31.4,85.5,21.8,64.9,3.9,2.6,0,2.0,8.1,19.9,23.6,278.7
1991,36.0,57.9,24.9,46.9,100.5,0.0,28.0,0.1,0.0,14.5,32.8,123.7
1992,0.0,18.0,76.4,37.4,9.6,3.9,0.0,1.7,0,10.2,110.9,93.4
1993,57.0,146.6,91.2,48.4,30.8,0.1,0,0,2.8,9.1,108.5,177.8
1994,70.5,95.2,78.3,49.3,32.5,1.3,0,0.4,0.0,68.8,85.0,154.5
1995,208.6,28.3,185.8,38.9,36.1,0.0,0,8.9,21.0,3.9,175.7,82.8
1996,30.8,209.6,37.3,90.6,18.2,0.1,0,0.3,112.3,39.9,69.7,195.0
1997,119.0,20.5,124.2,93.4,13.0,2.0,0,0,0.0,48.5,84.2,206.6
1998,171.5,70.4,133.5,34.2,121.9,0,2.7,39.6,0,84.0,271.6,156.7
1999,93.6,249.0,77.7,13.9,13.0,0.7,0,0,0.4,28.8,47.9,127.5
2000,96.3,91.6,77.6,48.1,5.2,0,0,0.1,0,91.6,107.9,35.6
2001,90.9,108.7,16.0,65.9,18.4,17.1,0,34.9,23.0,0,283.7,269.9
2002,35.3,34.2,90.7,50.5,10.2,0,2.2,0,66.1,86.5,126.4,148.3
2003,102.7,201.0,25.3,104.5,10.3,0.1,0,0,0.0,66.5,15.6,116.3
2004,228.5,27.9,21.3,30.3,11.3,3.7,1.2,0,0.0,1.7,100.0,77.7
2005,124.0,287.4,90.5,17.3,35.8,21.0,0,0.2,6.6,22.8,155.9,67.5
2006,77.5,93.4,180.9,29.4,0.2,10.0,0,0,167.2,114.5,63.1,9.1
2007,33.1,22.6,29.7,19.3,44.1,0.3,0,0,0.0,107.7,111.6,118.8
2008,30.1,9.0,60.0,62.3,4.9,0.4,0,0,55.0,12.0,92.6,101.0
2009,204.1,165.2,175.7,83.8,44.3,9.2,0,0,51.2,26.3,160.3,151.8
2010,142.3,301.3,16.1,20.4,27.1,76.3,0,0,12.3,232.5,32.4,155.7
2011,100.9,107.3,18.8,65.3,29.4,0.6,0,0,8.6,90.3,0,140.5
2012,127.7,128.2,34.7,105.0,86.2,19.9,0,0,0.0,22.1,56.9,218.2
2013,252.5,187.0,56.8,30.2,43.7,27.1,0,20.2,5.1,94.1,128.9,9.1
2014,149.9,14.8,106.4,132.2,15.3,48.5,1.0,3.8,10.6,91.1,31.2,249.3
2015,175.0,100.9,108.4,31.4,28.8,52.3,0,35.4,7.1,83.5,100.7,0
2016,232.9,85.1,122.0,28.4,37.1,2.8,0,0.4,8.6,0.5,123.8,20.2
2017,283.7,45.0,122.7,20.3,45.7,3.3,0,0.1,0.0,61.3,62.0,118.1
2018,97.5,131.7,51.6,3.9,21.9,12.7,0,0.8,4.5,42.5,76.9,121.6
2019,411.6,109.1,41.4,49.9,13.3,23.2,0.9,0,33.0,23.1,67.2,97.0
2020,40.0,70.1,58.6,51.0,79.1,38.3,0,0,0.0,58.9,4.0,262.9
2021,202.1,189.2,105.7,36.9,1.1,37.3,0,0,0.1,29.4,38.5,230.6
2022,53.2,146.7,19.7,20.8,14.2,15.5,0,21.4,0.3,0,80.9,101.3
2023,138.2,15.1,87.6,75.4,14.2,70.5,0,33.8,29.5,4.0,223.6,116.1
